epoch,train_lr,train_loss,train_loss_vfl,train_loss_bbox,train_loss_giou,mAP_50_95,mAP_50,mAP_75,AP_small,AP_medium,AP_large,AR_1,AR_10,AR_100,AR_small,AR_medium,AR_large
0,1.4300000000000005e-06,16.80467544079665,0.582945579620363,0.6202298149283196,1.3049960505145295,0.04037178573428288,0.10811921756730827,0.017398392565496024,0.04018405904619439,0.032635428951304224,0.054460350280399035,0.0557912891450168,0.17533737225544732,0.3066767361744683,0.18551249447147278,0.31692300186574995,0.33281355087027764
1,4.275000000000001e-06,13.154292834035541,1.0196346036683905,0.208490263284405,0.7099040805874475,0.18884722522834996,0.31799034799278153,0.19837639823779293,0.09137732294430127,0.15398023747368242,0.2454669720645171,0.1843233017100787,0.47741691667718483,0.6570502600432505,0.5241310998083444,0.5500819179445134,0.7342658514324634
2,7.119999999999995e-06,11.558380980064245,0.9345482513439467,0.1441312427444282,0.6002887415655468,0.32634385025765733,0.509211024459395,0.37637561205451575,0.14566364361503203,0.2558456609130236,0.40517417831422675,0.2446458475458312,0.5998385963716839,0.7306936464477626,0.5730742296918768,0.6793987064788591,0.7812876175773853
3,9.626660808435746e-06,10.547688539501653,0.8052989445587453,0.13035699603375317,0.5622533173783173,0.39218631324326747,0.6105083127961167,0.4646290979728018,0.2723805757298992,0.33052612726377434,0.4678871744865528,0.274194575243348,0.6403159451089825,0.7414504522076681,0.5536856848002358,0.6577106900198503,0.8109688069518611
4,9.999999999999889e-06,9.821378883871336,0.7411430820639398,0.11967667169960605,0.5240034484067156,0.47622956392841276,0.709796257668675,0.5656457991293244,0.2705954000302721,0.3684949775662857,0.5806540403126285,0.3055168248011894,0.6860335437202583,0.7524265670440006,0.5773698953265517,0.6784375857467462,0.814512590826126
5,9.999999999999889e-06,9.337113854755207,0.7032151296603868,0.11123193372270135,0.496168525702924,0.5035179551488077,0.7218766520060329,0.5998215367757483,0.25432151356895627,0.37933782303845515,0.6120495458998623,0.3281944698682502,0.6949865911631878,0.7675567315390063,0.524952086097597,0.7078634391802331,0.8304541577217203
6,9.999999999999889e-06,9.0185070264109,0.6701624154625543,0.10630872531389729,0.48789563874578223,0.5492051173191682,0.7831631669506826,0.6449038826749852,0.2513991593641645,0.4462793073610276,0.6446582728677163,0.33519291550175057,0.7100983479255684,0.7741811604512376,0.5752239053516144,0.727391924739253,0.8246223582194787
7,9.999999999999889e-06,8.77207853923992,0.6497674043337783,0.10433881608720194,0.4764999050666662,0.5575909989901934,0.803900477642568,0.6515441120146117,0.2880517305266224,0.42878230502537906,0.6628915740191164,0.3400844020362606,0.6996056105033155,0.7570104050620919,0.5409940291906237,0.6941829955761254,0.8177885724607326
8,9.999999999999889e-06,8.537516733045528,0.6284743725520237,0.10009725177775158,0.46442593861967063,0.5909855821244686,0.8240775981279541,0.687469363991037,0.29239896064233806,0.45701537676531534,0.6967121039695608,0.34669193851746416,0.7229006993171911,0.7814688696545307,0.5576791242812915,0.7168624580265802,0.8426231870224093
9,9.999999999999889e-06,8.30936825338273,0.611132853269996,0.097046218524394,0.45064799322604293,0.6032680165335723,0.83432859106632,0.7078511204766492,0.3090243007204361,0.48563082127767127,0.702081901899701,0.34406712965264125,0.7200611440520384,0.7831566161720878,0.5688356921716056,0.7178905295699188,0.8448277589150306
10,9.999999999999889e-06,8.16215034947454,0.5994702069013526,0.09750940147885538,0.4408402347082832,0.6147466242924114,0.8466854947448148,0.7103465416062368,0.30647647670399997,0.4969612000772429,0.7135112539578707,0.34942890091347045,0.7314761516676714,0.7873737407994599,0.5949929971988797,0.7169687142778746,0.8471874008812333
11,9.999999999999889e-06,8.007079879512686,0.5836011417511268,0.0945159015957731,0.43939765743086334,0.6380613360755304,0.8678535964586456,0.7477290581347557,0.33751558838060514,0.5165241632084441,0.7330191858406024,0.3553829665644821,0.746682020508166,0.7891319575010853,0.5998894294559929,0.7298283574046933,0.8454436575210138
12,9.999999999999889e-06,7.898370017066782,0.5793583853487809,0.0909214452210231,0.4319636693947764,0.6400027793683074,0.8709983151146892,0.7456629549364941,0.3308125554861992,0.49972191027984075,0.7413907849783743,0.3535350340597313,0.7406429582394609,0.792440167474451,0.5992315347191508,0.7264494865639903,0.8514253686939522
13,9.999999999999889e-06,7.791168193616012,0.5721930380655299,0.09031630477005442,0.42705533584098615,0.6502873443356879,0.8802331011816653,0.7668951925117783,0.3640351037021635,0.5239986624114036,0.7430671150681086,0.3606997391283338,0.7509054347077699,0.7976927197255661,0.6163865546218488,0.7316117247414958,0.8549614954213325
14,9.999999999999889e-06,7.7215798952877,0.5643228691575397,0.09041405628273273,0.4225718793843878,0.6708644326219619,0.8973524432111432,0.793698758766711,0.36196527200744527,0.5424174422258569,0.7663659879025979,0.3702782807141516,0.750231225449205,0.7991358676836733,0.6164446041574525,0.740136987140804,0.8539088968697548
15,9.999999999999889e-06,7.628426675008764,0.5561322541039941,0.08919520833266012,0.4143146496455992,0.6650710359075483,0.894983713445843,0.7801365830044038,0.3691546672413846,0.5367691177429029,0.7612026683817497,0.36500467737498304,0.7469976472834865,0.8019260751186188,0.6213253722541647,0.743954702198977,0.8548275628390405
16,9.999999999999889e-06,7.543510571934008,0.5491671499342826,0.08681688600453845,0.4157434664208357,0.6750337004554244,0.906335895087518,0.7844228052131281,0.3660413808945142,0.5451876275280997,0.7677068248466012,0.3675204581762449,0.7581942211549216,0.8052831404515386,0.6083692687601356,0.7457856339535729,0.8599975746524027
17,9.999999999999889e-06,7.47652142328621,0.5452210180369748,0.08658031734305652,0.40838490848172526,0.6723281609785129,0.8996118750811662,0.7849535692573117,0.3710804112048369,0.5445822530113222,0.76544575949156,0.37475030781346197,0.7514279394555159,0.7991252788743942,0.61390701017249,0.7359633255243943,0.8532963938080489
18,9.999999999999889e-06,7.38752000654519,0.5395764246556797,0.08460277117304307,0.4066112188389934,0.6705062926553997,0.8976304914209122,0.7786154598907385,0.39106248420441936,0.5370632269837949,0.7629170492273488,0.374506451626573,0.7494725169911183,0.7998022667945369,0.6308473389355742,0.728634822985968,0.8576616121523536
19,9.999999999999889e-06,7.312820039859765,0.5369191204831135,0.08370753752823873,0.3966902515904975,0.674224825750039,0.9061907570050245,0.7881656079768526,0.39490797481938816,0.5420605023414563,0.7641078541414491,0.37172726834664793,0.7591708069408539,0.8113741865139732,0.6453339230429014,0.753807493673906,0.8622533184396278
